State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
NY,1900,300.0,0.0,0.0,,
TX,1900,6000.0,0.0,30000.0,,
DE,1903,0.0,0.0,480000.0,,
GA,1903,98.0,0.0,0.0,,
OR,1903,250.0,0.0,0.0,,
CO,1904,96.0,0.0,0.0,,
NY,1904,1000.0,0.0,0.0,,
AL,1906,134.0,0.0,0.0,,
CA,1906,700.0,0.0,524000.0,,
FL,1906,164.0,0.0,0.0,,
MS,1906,134.0,0.0,0.0,,
OH,1908,161.0,0.0,0.0,,
LA,1909,72.0,0.0,0.0,,
TX,1909,41.0,0.0,0.0,,
FL,1910,30.0,0.0,0.0,,
NY,1911,145.0,0.0,0.0,,
PA,1911,80.0,0.0,0.0,,
IN,1913,732.0,0.0,200000.0,,
OH,1913,732.0,0.0,200000.0,,
TX,1913,732.0,0.0,200000.0,,
CA,1915,6.0,0.0,1000.0,,
LA,1915,525.0,0.0,60000.0,,
TX,1915,525.0,0.0,60000.0,,
CA,1916,30.0,0.0,0.0,,
LA,1918,34.0,0.0,0.0,,
MN,1918,1000.0,0.0,100000.0,,
NY,1918,97.0,0.0,0.0,,
OK,1918,38.0,0.0,0.0,,
TN,1918,101.0,0.0,0.0,,
WI,1918,1000.0,0.0,100000.0,,
FL,1919,500.0,0.0,25000.0,,
TX,1919,500.0,0.0,25000.0,,
AL,1920,224.0,0.0,0.0,,
MS,1920,224.0,0.0,0.0,,
VA,1922,34.0,0.0,0.0,,
GA,1923,0.0,0.0,0.0,,
CA,1925,13.0,0.0,8000.0,,
IL,1925,739.0,0.0,18000.0,,
IN,1925,739.0,0.0,18000.0,,
MT,1925,739.0,0.0,18000.0,,
OH,1925,14.0,0.0,0.0,,
AL,1926,243.0,0.0,73000.0,,
FL,1926,243.0,0.0,73000.0,,
LA,1926,25.0,0.0,0.0,,
MS,1927,246.0,0.0,230.0,,
CA,1928,400.0,0.0,0.0,,
FL,1928,1836.0,0.0,25000.0,,
NJ,1929,14.0,0.0,0.0,,
CA,1930,16.0,0.0,0.0,,
OH,1930,317.0,0.0,0.0,,
AL,1932,332.0,0.0,0.0,,
SC,1932,332.0,0.0,0.0,,
TX,1932,372.0,0.0,0.0,,
CA,1933,116.0,0.0,38500.0,,
IN,1933,10.0,0.0,0.0,,
NJ,1933,73.0,0.0,0.0,,
TX,1933,40.0,0.0,0.0,,
FL,1935,408.0,0.0,6000.0,,
WY,1935,10.0,0.0,0.0,,
AR,1936,17.0,0.0,0.0,,
CA,1936,12.0,0.0,0.0,,
GA,1936,455.0,0.0,21000.0,,
IL,1936,1193.0,0.0,0.0,,
MS,1936,455.0,0.0,21000.0,,
NY,1936,14.0,0.0,0.0,,
PA,1936,213.0,0.0,0.0,,
CA,1937,11.0,0.0,0.0,,
IN,1937,137.0,0.0,438000.0,,
KY,1937,137.0,0.0,438000.0,,
OH,1937,137.0,0.0,438000.0,,
PA,1937,13.0,0.0,0.0,,
CA,1938,11.0,0.0,0.0,,
GU,1938,15.0,0.0,0.0,,
MT,1938,20.0,0.0,0.0,,
NY,1938,600.0,0.0,306000.0,,
OH,1938,10.0,0.0,0.0,,
WA,1939,13.0,0.0,0.0,,
CA,1940,9.0,0.0,33000.0,,
GA,1940,50.0,0.0,0.0,,
IL,1940,10.0,0.0,0.0,,
UT,1940,10.0,0.0,0.0,,
VA,1940,25.0,0.0,0.0,,
MN,1941,14.0,0.0,0.0,,
CA,1942,12.0,0.0,0.0,,
NV,1942,22.0,0.0,0.0,,
UT,1942,17.0,0.0,0.0,,
VA,1942,21.0,0.0,0.0,,
WV,1942,21.0,0.0,0.0,,
CA,1943,19.0,0.0,0.0,,
GA,1943,20.0,0.0,0.0,,
KY,1943,20.0,0.0,0.0,,
NC,1943,45.0,0.0,0.0,,
TN,1943,15.0,0.0,0.0,,
TX,1943,22.0,0.0,0.0,,
UT,1943,25.0,0.0,0.0,,
WA,1943,10.0,0.0,0.0,,
CA,1944,24.0,0.0,0.0,,
CT,1944,163.0,0.0,0.0,,
NE,1944,28.0,0.0,0.0,,
OH,1944,121.0,0.0,0.0,,
TN,1944,24.0,0.0,0.0,,
AK,1946,165.0,0.0,25000.0,,
CA,1946,165.0,0.0,25000.0,,
IL,1946,45.0,36.0,0.0,,
FL,1947,51.0,0.0,100000.0,,
LA,1947,51.0,0.0,100000.0,,
ME,1947,0.0,0.0,30000.0,,
TX,1947,561.0,0.0,0.0,,
WA,1949,8.0,0.0,25000.0,,
