State Code,Predicted Number of Financial Damage for 2024
NY,2882742.0
TX,9765709.0
DE,2542493.0
GA,4591511.0
OR,1530954.0
CO,3639014.0
AL,3742729.0
CA,5482422.0
FL,42013286.0
MS,4583559.0
OH,4617743.0
LA,5388677.0
PA,3568660.0
IN,3629788.0
MN,1180960.0
OK,6281580.0
TN,4396354.0
WI,2865605.0
VA,12320691.0
IL,2936929.0
MT,322077.0
NJ,39130.0
SC,3396396.0
WY,322135.0
AR,5630438.0
KY,4271106.0
GU,30.0
WA,7297336.0
UT,840650.0
NV,6045539.0
WV,2433731.0
NC,30783278.0
CT,-2393433.0
NE,4449508.0
AK,282303.0
ME,1954204.0
KS,5346644.0
MO,3720614.0
MA,823246.0
RI,6210472.0
HI,-636.0
MI,3210257.0
SD,1170674.0
ID,1646553.0
AZ,3572241.0
IA,3340639.0
MD,4301609.0
VT,2429997.0
NM,257761.0
ND,1010359.0
NH,780982.0
DC,1486900.0
MP,0.0
AS,0.0
PR,0.0
FM,0.0
VI,0.0
MH,0.0
PW,0.0
Virgin Islands of the U.S.,0.0
