State Name,State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
Alabama,AL,2019,56.0,114.0,2925000.0,15.0,"{'Severe Storm': 13, 'Tornado': 2}"
Arkansas,AR,2019,13.0,12.0,4500000.0,39.0,{'Flood': 39}
California,CA,2019,76.0,14.0,1625000.0,61.0,"{'Fire': 21, 'Earthquake': 3, 'Severe Storm': 37}"
Colorado,CO,2019,27.0,57.0,0.0,0.0,0
Connecticut,CT,2019,2.0,12.0,1200000.0,0.0,0
Florida,FL,2019,56.0,90.0,2025000.0,90.0,{'Hurricane': 90}
Georgia,GA,2019,64.0,102.0,3325000.0,13.0,{'Hurricane': 13}
Iowa,IA,2019,18.0,57.0,10000000.0,83.0,{'Flood': 83}
Illinois,IL,2019,20.0,69.0,11200000.0,29.0,{'Flood': 29}
Indiana,IN,2019,20.0,12.0,1435000.0,0.0,0
Kansas,KS,2019,36.0,57.0,10235000.0,120.0,{'Severe Storm': 120}
Louisiana,LA,2019,31.0,12.0,4735000.0,100.0,"{'Flood': 27, 'Hurricane': 27, 'Coastal Storm': 42, 'Severe Storm': 4}"
Massachusetts,MA,2019,2.0,12.0,1200000.0,0.0,0
Maryland,MD,2019,2.0,12.0,1200000.0,0.0,0
Michigan,MI,2019,5.0,0.0,10000000.0,0.0,0
Minnesota,MN,2019,5.0,0.0,10000000.0,58.0,{'Flood': 58}
Missouri,MO,2019,43.0,207.0,12835000.0,105.0,"{'Severe Storm': 88, 'Flood': 17}"
Mississippi,MS,2019,57.0,114.0,3525000.0,73.0,{'Severe Storm': 73}
North Carolina,NC,2019,21.0,12.0,2900000.0,153.0,{'Hurricane': 153}
North Dakota,ND,2019,5.0,0.0,10000000.0,20.0,{'Flood': 20}
Nebraska,NE,2019,36.0,57.0,10235000.0,93.0,{'Flood': 93}
New Jersey,NJ,2019,2.0,12.0,1200000.0,0.0,0
Ohio,OH,2019,10.0,24.0,2500000.0,35.0,"{'Tornado': 13, 'Flood': 22}"
Oklahoma,OK,2019,5.0,0.0,3200000.0,89.0,"{'Fire': 4, 'Severe Storm': 74, 'Flood': 11}"
Pennsylvania,PA,2019,2.0,12.0,1200000.0,0.0,0
South Carolina,SC,2019,51.0,147.0,1790000.0,61.0,{'Hurricane': 61}
South Dakota,SD,2019,5.0,0.0,10000000.0,128.0,"{'Severe Storm': 37, 'Flood': 91}"
Tennessee,TN,2019,6.0,12.0,3800000.0,71.0,"{'Severe Storm': 11, 'Flood': 60}"
Texas,TX,2019,32.0,12.0,7400000.0,51.0,"{'Flood': 49, 'Fire': 2}"
Virginia,VA,2019,25.0,69.0,2800000.0,0.0,0
